EoSType = Tabulated
    2.00308835128025e-03    1.39539896808137e+00    2.95836568194203e-02
    2.01475358528523e-03    1.39558316743063e+00    2.96716094646341e-02
    2.02650122834806e-03    1.39576744279733e+00    2.97599563376089e-02
    2.03833196246992e-03    1.39595179348034e+00    2.98487001070557e-02
    2.05024647612046e-03    1.39613621876189e+00    2.99378434691948e-02
    2.06224546430924e-03    1.39632071790747e+00    3.00273891481051e-02
    2.07432962865781e-03    1.39650529016572e+00    3.01173398960735e-02
    2.08649967747283e-03    1.39668993476838e+00    3.02076984939484e-02
    2.09875632582009e-03    1.39687465093023e+00    3.02984677514939e-02
    2.11110029559943e-03    1.39705943784902e+00    3.03896505077471e-02
    2.12353231562056e-03    1.39724429470549e+00    3.04812496313762e-02
    2.13605312167982e-03    1.39742922066330e+00    3.05732680210414e-02
    2.14866345663795e-03    1.39761421486906e+00    3.06657086057568e-02
    2.16136407049871e-03    1.39779927645236e+00    3.07585743452537e-02
    2.17415572048856e-03    1.39798440452577e+00    3.08518682303453e-02
    2.18703917113717e-03    1.39816959818493e+00    3.09455932832929e-02
    2.20001519435909e-03    1.39835485650862e+00    3.10397525581724e-02
    2.21308456953621e-03    1.39854017855886e+00    3.11343491412421e-02
    2.22624808360138e-03    1.39872556338100e+00    3.12293861513107e-02
    2.23950653112284e-03    1.39891101000393e+00    3.13248667401063e-02
    2.25286071438986e-03    1.39909651744018e+00    3.14207940926449e-02
    2.26631144349923e-03    1.39928208468615e+00    3.15171714275993e-02
    2.27985953644278e-03    1.39946771072234e+00    3.16140019976678e-02
    2.29350581919600e-03    1.39965339451359e+00    3.17112890899421e-02
    2.30725112580765e-03    1.39983913500936e+00    3.18090360262751e-02
    2.32109629849029e-03    1.40002493114404e+00    3.19072461636471e-02
    2.33504218771200e-03    1.40021078183732e+00    3.20059228945314e-02
    2.34908965228905e-03    1.40039668599452e+00    3.21050696472580e-02
    2.36323955947956e-03    1.40058264250708e+00    3.22046898863761e-02
    2.37749278507831e-03    1.40076865025295e+00    3.23047871130139e-02
    2.39185021351247e-03    1.40095470809712e+00    3.24053648652368e-02
    2.40631273793845e-03    1.40114081489214e+00    3.25064267184029e-02
    2.42088126033970e-03    1.40132696947871e+00    3.26079762855152e-02
    2.43555669162570e-03    1.40151317068629e+00    3.27100172175710e-02
    2.45033995173172e-03    1.40169941733379e+00    3.28125532039079e-02
    2.46523196971987e-03    1.40188570823026e+00    3.29155879725456e-02
    2.48023368388102e-03    1.40207204217571e+00    3.30191252905236e-02
    2.49534604183775e-03    1.40225841796189e+00    3.31231689642348e-02
    2.51057000064839e-03    1.40244483437319e+00    3.32277228397538e-02
    2.52590652691192e-03    1.40263129018758e+00    3.33327908031599e-02
    2.54135659687396e-03    1.40281778417759e+00    3.34383767808550e-02
    2.55692119653371e-03    1.40300431511143e+00    3.35444847398752e-02
    2.57260132175191e-03    1.40319088175405e+00    3.36511186881960e-02
    2.58839797835957e-03    1.40337748286839e+00    3.37582826750309e-02
    2.60431218226783e-03    1.40356411721660e+00    3.38659807911228e-02
    2.62034495957867e-03    1.40375078356145e+00    3.39742171690282e-02
    2.63649734669645e-03    1.40393748066770e+00    3.40829959833930e-02
    2.65277039044040e-03    1.40412420730363e+00    3.41923214512203e-02
    2.66916514815791e-03    1.40431096224262e+00    3.43021978321296e-02
    2.68568268783870e-03    1.40449774426483e+00    3.44126294286062e-02
    2.70232408822966e-03    1.40468455215894e+00    3.45236205862422e-02
    2.71909043895061e-03    1.40487138472409e+00    3.46351756939665e-02
    2.73598284061067e-03    1.40505824077173e+00    3.47472991842649e-02
    2.75300240492533e-03    1.40524511912780e+00    3.48599955333900e-02
    2.77015025483425e-03    1.40543201863480e+00    3.49732692615587e-02
    2.78742752461956e-03    1.40561893815415e+00    3.50871249331395e-02
    2.80483536002477e-03    1.40580587656856e+00    3.52015671568269e-02
    2.82237491837423e-03    1.40599283278454e+00    3.53166005858044e-02
    2.84004736869295e-03    1.40617980573505e+00    3.54322299178940e-02
    2.85785389182691e-03    1.40636679438231e+00    3.55484598956933e-02
    2.87579568056365e-03    1.40655379772067e+00    3.56652953066989e-02
    2.89387393975317e-03    1.40674081477967e+00    3.57827409834167e-02
    2.91208988642901e-03    1.40692784462727e+00    3.59008018034577e-02
    2.93044474992946e-03    1.40711488637318e+00    3.60194826896195e-02
    2.94893977201882e-03    1.40730193917234e+00    3.61387886099544e-02
    2.96757620700864e-03    1.40748900222868e+00    3.62587245778211e-02
    2.98635532187881e-03    1.40767607479889e+00    3.63792956519231e-02
    3.00527839639843e-03    1.40786315619647e+00    3.65005069363312e-02
    3.02434672324640e-03    1.40805024579596e+00    3.66223635804914e-02
    3.04356160813149e-03    1.40823734303733e+00    3.67448707792168e-02
    3.06292436991194e-03    1.40842444743056e+00    3.68680337726650e-02
    3.08243634071435e-03    1.40861155856050e+00    3.69918578463002e-02
    3.10209886605185e-03    1.40879867609188e+00    3.71163483308398e-02
    3.12191330494116e-03    1.40898579977455e+00    3.72415106021862e-02
    3.14188103001874e-03    1.40917292944898e+00    3.73673500813442e-02
    3.16200342765564e-03    1.40936006505198e+00    3.74938722343234e-02
    3.18228189807095e-03    1.40954720662273e+00    3.76210825720267e-02
    3.20271785544369e-03    1.40973435430897e+00    3.77489866501254e-02
    3.22331272802290e-03    1.40992150837356e+00    3.78775900689208e-02
    3.24406795823587e-03    1.41010866920126e+00    3.80068984731939e-02
    3.26498500279416e-03    1.41029583730587e+00    3.81369175520427e-02
    3.28606533279725e-03    1.41048301333762e+00    3.82676530387096e-02
    3.30731043383366e-03    1.41067019809088e+00    3.83991107103984e-02
    3.32872180607913e-03    1.41085739251228e+00    3.85312963880828e-02
    3.35030096439185e-03    1.41104459770907e+00    3.86642159363078e-02
    3.37204943840421e-03    1.41123181495794e+00    3.87978752629853e-02
    3.39396877261100e-03    1.41141904571414e+00    3.89322803191851e-02
    3.41606052645360e-03    1.41160629162102e+00    3.90674370989237e-02
    3.43832627440000e-03    1.41179355452002e+00    3.92033516389534e-02
    3.46076760602018e-03    1.41198083646100e+00    3.93400300185517e-02
    3.48338612605659e-03    1.41216813971307e+00    3.94774783593167e-02
    3.50618345448927e-03    1.41235546677590e+00    3.96157028249690e-02
    3.52916122659541e-03    1.41254282039141e+00    3.97547096211625e-02
    3.55232109300262e-03    1.41273020355612e+00    3.98945049953105e-02
    3.57566471973582e-03    1.41291761953384e+00    4.00350952364270e-02
    3.59919378825710e-03    1.41310507186905e+00    4.01764866749890e-02
    3.62290999549810e-03    1.41329256440077e+00    4.03186856828246e-02
    3.64681505388436e-03    1.41348010127705e+00    4.04616986730294e-02
    3.67091069135124e-03    1.41366768697006e+00    4.06055320999179e-02
    3.69519865135079e-03    1.41385532629182e+00    4.07501924590155e-02
    3.71968069284880e-03    1.41404302441064e+00    4.08956862870947e-02
    3.74435859031178e-03    1.41423078686820e+00    4.10420201622646e-02
    3.76923413368281e-03    1.41441861959744e+00    4.11892007041192e-02
    3.79430912834581e-03    1.41460652894111e+00    4.13372345739514e-02
    3.81958539507752e-03    1.41479452167121e+00    4.14861284750416e-02
    3.84506476998625e-03    1.41498260500925e+00    4.16358891530297e-02
    3.87074910443671e-03    1.41517078664732e+00    4.17865233963785e-02
    3.89664026496007e-03    1.41535907477013e+00    4.19380380369396e-02
    3.92274013314828e-03    1.41554747807800e+00    4.20904399506323e-02
    3.94905060553182e-03    1.41573600581079e+00    4.22437360582466e-02
    3.97557359343974e-03    1.41592466777299e+00    4.23979333263836e-02
    4.00231102284107e-03    1.41611347435975e+00    4.25530387685457e-02
    4.02926483416642e-03    1.41630243658416e+00    4.27090594463911e-02
    4.05643698210863e-03    1.41649156610569e+00    4.28660024711693e-02
    4.08382943540123e-03    1.41668087525991e+00    4.30238750053514e-02
    4.11144417657347e-03    1.41687037708945e+00    4.31826842644763e-02
    4.13928320168051e-03    1.41706008537644e+00    4.33424375192290e-02
    4.16734852000726e-03    1.41725001467628e+00    4.35031420977720e-02
    4.19564215374461e-03    1.41744018035304e+00    4.36648053883536e-02
    4.22416613763620e-03    1.41763059861634e+00    4.38274348422133e-02
    4.25292251859409e-03    1.41782128655994e+00    4.39910379768121e-02
    4.28191335528180e-03    1.41801226220210e+00    4.41556223794124e-02
    4.31114071766259e-03    1.41820354452773e+00    4.43211957110386e-02
    4.34060668651104e-03    1.41839515353249e+00    4.44877657108466e-02
    4.37031335288614e-03    1.41858711026892e+00    4.46553402009370e-02
    4.40026281756333e-03    1.41877943689464e+00    4.48239270916468e-02
    4.43045719042354e-03    1.41897215672286e+00    4.49935343873570e-02
    4.46089858979653e-03    1.41916529427522e+00    4.51641701928572e-02
    4.49158914175618e-03    1.41935887533701e+00    4.53358427203097e-02
    4.52253097936505e-03    1.41955292701515e+00    4.55085602968600e-02
    4.55372624186515e-03    1.41974747779872e+00    4.56823313729436e-02
    4.58517707381222e-03    1.41994255762255e+00    4.58571645313411e-02
    4.61688562415028e-03    1.42013819793365e+00    4.60330684970394e-02
    4.64885404522304e-03    1.42033443176101e+00    4.62100521479597e-02
    4.68108449171878e-03    1.42053129378861e+00    4.63881245266163e-02
    4.71357911954503e-03    1.42072882043203e+00    4.65672948527782e-02
    4.74634008462917e-03    1.42092704991882e+00    4.67475725372052e-02
    4.77936954164076e-03    1.42112602237274e+00    4.69289671965405e-02
    4.81266964263143e-03    1.42132577990215e+00    4.71114886694445e-02
    4.84624253558770e-03    1.42152636669278e+00    4.72951470340610e-02
    4.88009036289206e-03    1.42172782910515e+00    4.74799526269143e-02
    4.91421525968707e-03    1.42193021577672e+00    4.76659160633417e-02
    4.94861935213739e-03    1.42213357772930e+00    4.78530482595737e-02
    4.98330475558397e-03    1.42233796848183e+00    4.80413604565821e-02
    5.01827357258467e-03    1.42254344416876e+00    4.82308642458251e-02
    5.05352789083487e-03    1.42275006366466e+00    4.84215715970258e-02
    5.08906978096185e-03    1.42295788871497e+00    4.86134948881344e-02
    5.12490129418570e-03    1.42316698407362e+00    4.88066469376283e-02
    5.16102445983972e-03    1.42337741764769e+00    4.90010410393226e-02
    5.19744128274279e-03    1.42358926064952e+00    4.91966909998703e-02
    5.23415374041523e-03    1.42380258775681e+00    4.93936111791463e-02
    5.27116378013027e-03    1.42401747728097e+00    4.95918165337234e-02
    5.30847331579176e-03    1.42423401134441e+00    4.97913226636614e-02
    5.34608422462909e-03    1.42445227606706e+00    4.99921458628483e-02
    5.38399834369930e-03    1.42467236176277e+00    5.01943031731470e-02
    5.42221746618618e-03    1.42489436314610e+00    5.03978124426205e-02
    5.46074333748542e-03    1.42511837955017e+00    5.06026923881265e-02
    5.49957765106455e-03    1.42534451515597e+00    5.08089626625925e-02
    5.53872204408560e-03    1.42557287923410e+00    5.10166439273061e-02
    5.57817809277806e-03    1.42580358639934e+00    5.12257579295732e-02
    5.61794730754901e-03    1.42603675687895e+00    5.14363275861282e-02
    5.65803112781669e-03    1.42627251679541e+00    5.16483770726984e-02
    5.69843091655307e-03    1.42651099846441e+00    5.18619319201591e-02
    5.73914795452068e-03    1.42675234070892e+00    5.20770191177381e-02
    5.78018343418762e-03    1.42699668919026e+00    5.22936672237656e-02
    5.82153845330483e-03    1.42724419675714e+00    5.25119064844907e-02
    5.86321400812830e-03    1.42749502381351e+00    5.27317689615236e-02
    5.90521098626875e-03    1.42774933870645e+00    5.29532886684974e-02
    5.94753015915023e-03    1.42800731813504e+00    5.31765017175766e-02
    5.99017217405863e-03    1.42826914758135e+00    5.34014464764809e-02
    6.03313754576048e-03    1.42853502176476e+00    5.36281637367306e-02
    6.07642664767154e-03    1.42880514512087e+00    5.38566968938582e-02
    6.12003970255429e-03    1.42907973230617e+00    5.40870921403752e-02
    6.16397677272267e-03    1.42935900872986e+00    5.43193986723194e-02
    6.20823774973211e-03    1.42964321111423e+00    5.45536689102542e-02
    6.25282234353223e-03    1.42993258808492e+00    5.47899587356271e-02
    6.29773007105918e-03    1.43022740079253e+00    5.50283277434366e-02
    6.34296024424465e-03    1.43052792356718e+00    5.52688395121923e-02
    6.38851195741785e-03    1.43083444460738e+00    5.55115618921874e-02
    6.43438407407723e-03    1.43114726670488e+00    5.57565673131303e-02
    6.48057521300874e-03    1.43146670800700e+00    5.60039331122083e-02
    6.52708373372735e-03    1.43179310281803e+00    5.62537418836674e-02
    6.57390772121977e-03    1.43212680244131e+00    5.65060818510038e-02
    6.62104496996667e-03    1.43246817606337e+00    5.67610472628489e-02
    6.66849296722404e-03    1.43281761168187e+00    5.70187388136143e-02
    6.71624887554474e-03    1.43317551707853e+00    5.72792640899170e-02
    6.76430951452333e-03    1.43354232083863e+00    5.75427380437449e-02
    6.81267134174955e-03    1.43391847341811e+00    5.78092834932284e-02
    6.86133043295874e-03    1.43430444825947e+00    5.80790316517612e-02
    6.91028246137127e-03    1.43470074295737e+00    5.83521226860503e-02
    6.95952267621685e-03    1.43510788047444e+00    5.86287063034594e-02
    7.00904588044498e-03    1.43552641040779e+00    5.89089423687525e-02
    7.05884640762861e-03    1.43595691030609e+00    5.91930015500062e-02
    7.10891809807479e-03    1.43639998703686e+00    5.94810659930597e-02
    7.15925427416418e-03    1.43685627820282e+00    5.97733300233767e-02
    7.20984771495069e-03    1.43732645360583e+00    6.00700008735996e-02
    7.26069063006237e-03    1.43781121675601e+00    6.03712994343704e-02
    7.31177463295780e-03    1.43831130642269e+00    6.06774610251496e-02
    7.36309071360467e-03    1.43882749822314e+00    6.09887361807739e-02
    7.41462921066372e-03    1.43936060624334e+00    6.13053914483334e-02
    7.46637978327796e-03    1.43991148468411e+00    6.16277101875962e-02
    7.51833138258694e-03    1.44048102952401e+00    6.19559933666469e-02
    7.57047222310754e-03    1.44107018018859e+00    6.22905603426016e-02
    7.62278975414693e-03    1.44167992121349e+00    6.26317496152070e-02
    7.67527063144028e-03    1.44231128388628e+00    6.29799195387897e-02
    7.72790068923520e-03    1.44296534784900e+00    6.33354489753779e-02
    7.78066491307730e-03    1.44364324264021e+00    6.36987378688513e-02
    7.83354741358678e-03    1.44434614915151e+00    6.40702077166731e-02
    7.88653140155387e-03    1.44507530096907e+00    6.44503019121015e-02
    7.93959916472237e-03    1.44583198556588e+00    6.48394859257793e-02
    7.99273204667522e-03    1.44661754530498e+00    6.52382472912526e-02
    8.04591042828186e-03    1.44743337820726e+00    6.56470953543051e-02
    8.09911371221834e-03    1.44828093843068e+00    6.60665607410455e-02
    8.15232031112118e-03    1.44916173639926e+00    6.64971944945107e-02
    8.20550763999105e-03    1.45007733851164e+00    6.69395668242374e-02
    8.25865211351585e-03    1.45102936634824e+00    6.73942654079082e-02
    8.31172914903835e-03    1.45201949528539e+00    6.78618931789596e-02
    8.36471317594734e-03    1.45304945241157e+00    6.83430655291146e-02
    8.41757765232367e-03    1.45412101362748e+00    6.88384068504184e-02
    8.47029508972094e-03    1.45523599979587e+00    6.93485463377647e-02
    8.52283708700411e-03    1.45639627179063e+00    6.98741129704461e-02
    8.57517437420480e-03    1.45760372427612e+00    7.04157295902864e-02
    8.62727686737844e-03    1.45886027802820e+00    7.09740059948627e-02
    8.67911373546114e-03    1.46016787058740e+00    7.15495309676221e-02
    8.73065348012247e-03    1.46152844501281e+00    7.21428631728602e-02
    8.78186402958797e-03    1.46294393648242e+00    7.27545208530410e-02
    8.83271284736200e-03    1.46441625646279e+00    7.33849702793198e-02
    8.88316705671006e-03    1.46594727414852e+00    7.40346129238594e-02
    8.93319358165907e-03    1.46753879485146e+00    7.47037713450506e-02
    8.98275930513861e-03    1.46919253500150e+00    7.53926738043931e-02
    9.03183124471189e-03    1.47091009340831e+00    7.61014376668085e-02
    9.08037674613115e-03    1.47269291842761e+00    7.68300516745937e-02
    9.12836369469137e-03    1.47454227068080e+00    7.75783572289465e-02
    9.17576074405105e-03    1.47645918099628e+00    7.83460288616138e-02
    9.22253756183466e-03    1.47844440327971e+00    7.91325541320546e-02
    9.26866509093150e-03    1.48049836208581e+00    7.99372132415846e-02
    9.31411582496025e-03    1.48262109476147e+00    8.07590587139474e-02
    9.35886409588352e-03    1.48481218817006e+00    8.15968955499717e-02
    9.40288637123748e-03    1.48707071019760e+00    8.24492623204049e-02
    9.44616155789873e-03    1.48939513649461e+00    8.33144137133555e-02
    9.48867130875549e-03    1.49178327323413e+00    8.41903050984486e-02
    9.53040032809816e-03    1.49423217707615e+00    8.50745797060432e-02
    9.57133667101390e-03    1.49673807403069e+00    8.59645590438320e-02
    9.61147203158092e-03    1.49929627950902e+00    8.68572371820291e-02
    9.65080201423437e-03    1.50190112254197e+00    8.77492795295055e-02
    9.68932638234097e-03    1.50454587791073e+00    8.86370266943328e-02
    9.72704927779921e-03    1.50722271074825e+00    8.95165039714119e-02
    9.76397940540085e-03    1.50992263897676e+00    9.03834369260049e-02
    9.80013017577016e-03    1.51263551967209e+00    9.12332734446930e-02
    9.83551980096062e-03    1.51535006598245e+00    9.20612125051155e-02
    9.87017133724822e-03    1.51805390144594e+00    9.28622397744330e-02
    9.90411267032708e-03    1.52073365829083e+00    9.36311699865708e-02
    9.93737643898529e-03    1.52337512540410e+00    9.43626958737902e-02
    9.96999989441213e-03    1.52596344996914e+00    9.50514432439982e-02
    1.00020246935425e-02    1.52848339420515e+00    9.56920316073226e-02
    1.00334966262541e-02    1.53091964518147e+00    9.62791395705088e-02
    1.00644652777617e-02    1.53325717145140e+00    9.68075740427475e-02
    1.00949836291533e-02    1.53548161553770e+00    9.72723421388487e-02
    1.01251076006334e-02    1.53757970655819e+00    9.76687245321973e-02
    1.01548955436205e-02    1.53953967309946e+00    9.79923489069296e-02
    1.01844076893308e-02    1.54135163349039e+00    9.82392620914316e-02
    1.02137055628001e-02    1.54300793951437e+00    9.84059994272936e-02
    1.02428513724112e-02    1.54450345077105e+00    9.84896499411731e-02
    1.02719073858334e-02    1.54583572049986e+00    9.84879159416076e-02
    1.03009353038281e-02    1.54700507947736e+00    9.83991657565657e-02
    1.03299956435836e-02    1.54801461199626e+00    9.82224784563857e-02
    1.03591471431131e-02    1.54887002603512e+00    9.79576795648911e-02
    1.03884461977774e-02    1.54957942752036e+00    9.76053669416409e-02
    1.04179463392003e-02    1.55015301511273e+00    9.71669262123231e-02
    1.04476977657522e-02    1.55060271650472e+00    9.66445353236637e-02
    1.04777469324407e-02    1.55094178942794e+00    9.60411579956236e-02
    1.05081362065052e-02    1.55118441045101e+00    9.53605260296886e-02
    1.05389035933339e-02    1.55134527253474e+00    9.46071106017818e-02
    1.05700825355659e-02    1.55143920875425e+00    9.37860828178498e-02
    1.06017017864670e-02    1.55148085523301e+00    9.29032639379844e-02
    1.06337853569390e-02    1.55148436176988e+00    9.19650657822389e-02
    1.06663525338939e-02    1.55146315436693e+00    9.09784219219879e-02
    1.06994179662363e-02    1.55142975022025e+00    8.99507103412851e-02
    1.07329918133961e-02    1.55139562289387e+00    8.88896683318222e-02
    1.07670799502576e-02    1.55137111339798e+00    8.78033004728629e-02
    1.08016842214693e-02    1.55136538167581e+00    8.66997806543534e-02
    1.08368027374824e-02    1.55138639244752e+00    8.55873492367008e-02
    1.08724302042790e-02    1.55144092931547e+00    8.44742066112384e-02
    1.09085582785740e-02    1.55153463135394e+00    8.33684046333511e-02
    1.09451759403233e-02    1.55167204695326e+00    8.22777376415051e-02
    1.09822698746033e-02    1.55185670035415e+00    8.12096350378950e-02
    1.10198248553294e-02    1.55209116700805e+00    8.01710576692888e-02
    1.10578241238289e-02    1.55237715457586e+00    7.91684004804540e-02
    1.10962497559474e-02    1.55271558699230e+00    7.82074040811432e-02
    1.11350830121184e-02    1.55310668955742e+00    7.72930779314411e-02
    1.11743046656485e-02    1.55355007346186e+00    7.64296377717109e-02
    1.12138953053245e-02    1.55404481851102e+00    7.56204596728663e-02
    1.12538356093263e-02    1.55458955309261e+00    7.48680526453774e-02
    1.12941065882987e-02    1.55518253064260e+00    7.41740511265009e-02
    1.13346897962852e-02    1.55582170202020e+00    7.35392278928513e-02
    1.13755675090312e-02    1.55650478331485e+00    7.29635270701535e-02
    1.14167228699202e-02    1.55722931869038e+00    7.24461160019334e-02
    1.14581400044891e-02    1.55799273793496e+00    7.19854538715868e-02
    1.14998041050789e-02    1.55879240843802e+00    7.15793742241708e-02
    1.15417014876966e-02    1.55962568136669e+00    7.12251779702222e-02
    1.15838196236002e-02    1.56048993186767e+00    7.09197331183265e-02
    1.16261471484513e-02    1.56138259317984e+00    7.06595773948799e-02
    1.16686738521295e-02    1.56230118460983e+00    7.04410200610139e-02
    1.17113906524522e-02    1.56324333339539e+00    7.02602395972793e-02
    1.17542895561120e-02    1.56420679055812e+00    7.01133744491483e-02
    1.17973636101299e-02    1.56518944092440e+00    6.99966046542906e-02
    1.18406068470397e-02    1.56618930756683e+00    6.99062228485415e-02
    1.18840142268783e-02    1.56720455098394e+00    6.98386938191607e-02
    1.19275815788672e-02    1.56823346338934e+00    6.97907023986846e-02
    1.19713055454489e-02    1.56927445851926e+00    6.97591900392856e-02
    1.20151835311021e-02    1.57032605738743e+00    6.97413808568258e-02
    1.20592136581116e-02    1.57138687041746e+00    6.97347982769500e-02
    1.21033947312285e-02    1.57245557636506e+00    6.97372736525097e-02
    1.21477262129312e-02    1.57353089840872e+00    6.97469483581345e-02
    1.21922082108060e-02    1.57461157773933e+00    6.97622709137768e-02
    1.22368414783968e-02    1.57569634492368e+00    6.97819906558971e-02
    1.22816274307546e-02    1.57678388925683e+00    6.98051493746702e-02
    1.23265681758274e-02    1.57787282626426e+00    6.98310721785983e-02
    1.23716665627847e-02    1.57896166347113e+00    6.98593586432833e-02
    1.24169262483491e-02    1.58004876453512e+00    6.98898750548022e-02
    1.24623517822118e-02    1.58113231184853e+00    6.99227482735315e-02
    1.25079487126135e-02    1.58221026776753e+00    6.99583614214180e-02
    1.25537237131659e-02    1.58328033473254e+00    6.99973512315595e-02
    1.25996847319424e-02    1.58433991471828e+00    7.00406064880281e-02
    1.26458411637472e-02    1.58538606870700e+00    7.00892665192789e-02
    1.26922040462450e-02    1.58641547723017e+00    7.01447181831626e-02
    1.27387862802453e-02    1.58742440348300e+00    7.02085891924068e-02
    1.27856028738372e-02    1.58840866109358e+00    7.02827349799132e-02
    1.28326712091962e-02    1.58936358932476e+00    7.03692156106570e-02
    1.28800113296583e-02    1.59028403929411e+00    7.04702585482690e-02
    1.29276462430145e-02    1.59116437568533e+00    7.05882024462821e-02
    1.29756022348299e-02    1.59199849933857e+00    7.07254166598190e-02
    1.30239091828917e-02    1.59277989695539e+00    7.08841910125221e-02
    1.30726008605767e-02    1.59350172479803e+00    7.10665907014836e-02
    1.31217152130211e-02    1.59415693351581e+00    7.12742723171904e-02
    1.31712945855317e-02    1.59473844085241e+00    7.15082590545862e-02
    1.32213858788791e-02    1.59523935770286e+00    7.17686765351699e-02
    1.32720406012582e-02    1.59565327051406e+00    7.20544554115835e-02
    1.33233147822785e-02    1.59597457912364e+00    7.23630130901263e-02
    1.33752687110433e-02    1.59619888369434e+00    7.26899342423996e-02
    1.34279664590721e-02    1.59632340753133e+00    7.30286777159158e-02
    1.34814751506132e-02    1.59634743467913e+00    7.33703450536052e-02
    1.35358639489346e-02    1.59627273307454e+00    7.37035517937991e-02
    1.35912027385913e-02    1.59610392684933e+00    7.40144454933712e-02
    1.36475605012765e-02    1.59584877657467e+00    7.42869123960699e-02
    1.37050034068392e-02    1.59551832533694e+00    7.45030064933540e-02
    1.37635926706933e-02    1.59512687278679e+00    7.46436196263132e-02
    1.38233822621180e-02    1.59469174936364e+00    7.46893894148639e-02
    1.38844165814938e-02    1.59423287848837e+00    7.46218145409171e-02
    1.39467282536597e-02    1.59377213428427e+00    7.44245169317471e-02
    1.40103362038934e-02    1.59333252398052e+00    7.40845615398601e-02
    1.40752441871735e-02    1.59293724457559e+00    7.35937212856839e-02
    1.41414399263908e-02    1.59260867947690e+00    7.29495619182835e-02
    1.42088949794713e-02    1.59236741008376e+00    7.21562227452694e-02
    1.42775654008983e-02    1.59223131806051e+00    7.12247862612954e-02
    1.43473931954431e-02    1.59221484612218e+00    7.01731621061271e-02
    1.44183084896556e-02    1.59232846965624e+00    6.90254554129993e-02
    1.44902322800195e-02    1.59257841068928e+00    6.78108413289259e-02
    1.45630795653817e-02    1.59296660250390e+00    6.65620200643959e-02
    1.46367626425555e-02    1.59349089068804e+00    6.53133739643036e-02
    1.47111943411214e-02    1.59414543725317e+00    6.40989841805830e-02
    1.47862909952769e-02    1.59492128062985e+00    6.29506849386484e-02
    1.48619749919482e-02    1.59580699682408e+00    6.18963344964582e-02
    1.49381767876941e-02    1.59678940580510e+00    6.09584613684981e-02
    1.50148363437788e-02    1.59785427148429e+00    6.01534022138199e-02
    1.50919039816041e-02    1.59898695206020e+00    5.94909877922850e-02
